month,min,max
2022-09,3540.0,3540.0
2022-10,1800.0,28800.0
2022-11,3600.0,10800.0
2022-12,3600.0,10800.0
2023-01,10800.0,21600.0
2023-02,7500.0,51000.0
2023-03,7800.0,16200.0
2023-04,7200.0,17400.0
2023-05,1800.0,30600.0
2023-06,9000.0,21600.0
2023-07,5400.0,21600.0
2023-08,1800.0,25200.0
2023-09,19800.0,21600.0
2023-10,32400.0,32400.0
2023-11,7200.0,28800.0
2023-12,3600.0,46800.0
2024-01,4200.0,43200.0
2024-03,14400.0,25200.0
2024-07,3600.0,3600.0
2024-08,54000.0,54000.0
2024-09,600.0,46800.0
2024-10,600.0,61200.0
2024-11,1800.0,68400.0
2024-12,3000.0,90000.0
2025-01,1800.0,54000.0
2025-02,600.0,57600.0
2025-03,21600.0,54000.0
2025-04,900.0,89400.0
